NTACode,NTACode,NTACode,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
BK58,BK58,BK58,36515,5011,2958,1655,33557,4736,69,377,1782,1301,628,653,357,512,2950,1694,3067,1551,804,767,2657,1444,2788,1533,12936,3038,2161,1425,1523,1130,1835,1149,22945,1562,1052,831,833,724,1580,952,1510,1069,2681,1416,3920,1639,3366,1543,4211,1621,2091,1113,1701,1030
BK60,BK60,BK60,36344,5119,2984,1625,33360,4857,10,241,1311,956,598,702,427,512,2980,1623,1989,1352,1224,854,2346,1420,4267,1831,11843,3006,2889,1511,2015,1270,1461,1051,27232,1651,2764,1387,1643,1043,2454,1274,3005,1487,3784,1677,4509,1757,3236,1477,3245,1472,1377,987,1215,821
BK61,BK61,BK61,59259,7942,4261,2406,54998,7645,33,382,1979,1576,871,893,608,762,4640,2488,3467,2212,2927,1660,3480,2095,8348,3266,16972,4578,5682,2742,3886,2237,2105,1552,44722,2751,6138,2521,3531,1986,4672,2313,3976,2201,5381,2508,6389,2580,4418,2160,5735,2430,2271,1396,2211,1321
BK63,BK63,BK63,21460,2642,1772,1041,19688,2532,0,123,439,447,454,394,346,372,1875,1060,1548,794,926,607,1549,841,2515,927,6601,1637,1600,824,1047,675,788,603,15201,839,1023,631,1199,686,1748,775,1249,746,2049,936,2875,1032,1971,900,1937,835,530,427,620,466
BK64,BK64,BK64,13670,1577,732,418,12938,1565,44,131,199,201,227,224,128,163,725,462,349,290,1399,701,1086,492,3374,835,3131,930,1054,488,708,410,514,304,9449,657,642,375,322,284,424,358,378,300,775,476,916,405,1158,532,1557,543,1190,481,2087,590
BK68,BK68,BK68,17756,2367,1542,723,16214,2166,30,143,301,359,650,413,143,200,1218,655,872,709,1192,539,1358,630,3628,1171,3942,1139,1477,829,733,503,670,493,13317,836,1280,605,762,489,1052,567,1021,536,1185,632,1715,739,1258,608,2085,739,1127,496,1832,603
BK69,BK69,BK69,23479,2755,1276,794,22203,2588,15,136,595,503,734,487,372,353,1699,785,693,513,2070,839,1576,727,4628,1228,4975,1356,2557,1032,1244,695,1045,657,16630,978,1338,749,801,563,693,466,992,601,1550,775,2201,883,2360,868,2910,951,1715,779,2070,727
BK72,BK72,BK72,9361,1437,364,292,8997,1386,0,99,184,202,616,380,546,406,1210,579,288,261,217,247,914,555,1064,687,2973,895,476,348,445,360,64,129,8258,513,809,434,1331,571,1715,585,1111,498,959,481,808,482,610,424,411,308,197,225,307,275
BK73,BK73,BK73,35992,3981,1687,1109,34305,3802,0,191,768,648,1148,756,817,672,3109,1483,701,679,3570,1534,3714,1545,8941,2293,5466,1763,3724,1624,1347,843,1000,841,24582,1456,1827,1045,1207,795,1476,949,1547,912,2123,1185,2651,1169,2716,1230,3918,1408,2496,1041,4621,1309
BK75,BK75,BK75,37241,5179,3082,1659,34159,4964,27,263,973,799,1344,971,886,751,3761,1882,1907,1279,2061,1177,2194,1206,5016,1999,9095,2633,4089,1842,1502,1021,1304,958,26670,1743,3217,1505,2197,1268,3466,1521,2290,1355,2673,1357,3727,1654,2538,1257,2973,1314,1725,1022,1864,965
